ROWID,State,City,Year,Population,ViolentCrime,MurderAndNonEgligentManslaughter,ForcibleRape,Robbery,AggravatedAssault,PropertyCrime,Burglary,LarcenyTheft,MotorVehicleTheft,Arson,Year_id,City_id,State_id
115856,Alaska,Anchorage,2007,284142,2405,22,257,453,1673,11107,1454,8397,1256,145,2,1,1
115857,Alaska,Bethel,2007,6488,61,2,15,0,44,107,25,63,19,2,2,2,1
115858,Alaska,Bristol Bay Borough,2007,1028,8,0,0,0,8,49,11,24,14,1,2,3,1
115859,Alaska,Cordova,2007,2322,9,0,0,0,9,14,1,10,3,0,2,4,1
115860,Alaska,Craig,2007,1186,41,0,0,0,41,18,5,10,3,2,2,5,1
115861,Alaska,Dillingham,2007,2494,76,1,24,3,48,78,18,40,20,0,2,6,1
115862,Alaska,Fairbanks,2007,31287,258,5,43,42,168,1358,236,957,165,6,2,7,1
115863,Alaska,Haines,2007,2260,16,0,1,0,15,74,24,46,4,0,2,8,1
115864,Alaska,Homer,2007,5629,52,0,2,1,49,220,32,165,23,1,2,9,1
115865,Alaska,Houston,2007,1992,3,0,0,0,3,40,8,24,8,0,2,10,1
115866,Alaska,Juneau,2007,30746,126,1,22,17,86,1364,174,1137,53,10,2,11,1
115867,Alaska,Kenai,2007,7620,30,1,2,3,24,318,32,265,21,0,2,12,1
115868,Alaska,Ketchikan,2007,7384,21,0,9,1,11,476,41,407,28,4,2,13,1
115869,Alaska,Kodiak,2007,6242,33,0,5,1,27,209,13,175,21,6,2,14,1
115870,Alaska,North Pole,2007,1869,9,0,1,1,7,116,24,85,7,0,2,15,1
115871,Alaska,North Slope Borough,2007,6569,70,0,15,7,48,149,52,70,27,8,2,16,1
115872,Alaska,Palmer,2007,7931,65,0,4,1,60,282,23,242,17,2,2,17,1
115873,Alaska,Petersburg,2007,2890,1,0,0,0,1,117,6,103,8,0,2,18,1
115874,Alaska,Seward,2007,3054,3,0,1,0,2,146,21,118,7,2,2,19,1
115875,Alaska,Sitka,2007,8932,31,0,9,0,22,290,21,250,19,2,2,20,1
115876,Alaska,Skagway,2007,827,1,0,0,0,1,14,1,11,2,0,2,21,1
115877,Alaska,Soldotna,2007,4198,21,0,2,1,18,218,14,189,15,0,2,22,1
115878,Alaska,St. Paul,2007,431,6,0,2,0,4,7,6,1,0,0,2,23,1
115879,Alaska,Unalaska,2007,4155,15,0,4,1,10,74,7,59,8,0,2,24,1
115880,Alaska,Wasilla,2007,9931,47,0,2,2,43,553,58,442,53,0,2,25,1
115881,Alaska,Wrangell,2007,2028,1,0,0,0,1,77,5,67,5,0,2,26,1
115882,Alabama,Abbeville,2007,2955,8,0,1,1,6,105,16,83,6,0,2,27,2
115883,Alabama,Adamsville,2007,4771,53,0,1,20,32,416,45,351,20,0,2,28,2
115884,Alabama,Addison,2007,720,4,0,0,0,4,23,1,21,1,0,2,29,2
115885,Alabama,Alabaster,2007,28904,33,1,0,18,14,659,68,545,46,0,2,30,2
115886,Alabama,Alexander City,2007,15053,131,2,14,24,91,1016,182,784,50,0,2,31,2
115887,Alabama,Aliceville,2007,2457,3,0,1,1,1,43,11,25,7,0,2,32,2
115888,Alabama,Andalusia,2007,8727,40,0,3,7,30,381,63,300,18,0,2,33,2
115889,Alabama,Anniston,2007,23736,541,9,20,188,324,2912,942,1723,247,0,2,34,2
115890,Alabama,Arab,2007,7694,34,0,1,1,32,579,105,445,29,0,2,35,2
115891,Alabama,Ardmore,2007,1145,0,0,0,0,0,41,9,27,5,0,2,36,2
115892,Alabama,Ariton,2007,747,0,0,0,0,0,1,0,1,0,0,2,37,2
115893,Alabama,Ashford,2007,1967,2,0,0,0,2,34,10,21,3,0,2,38,2
115894,Alabama,Ashland,2007,1856,3,0,0,0,3,26,2,21,3,0,2,39,2
115895,Alabama,Ashville,2007,2503,4,0,0,2,2,54,9,40,5,0,2,40,2
115896,Alabama,Atmore,2007,7452,83,0,5,19,59,568,131,420,17,0,2,41,2
115897,Alabama,Auburn,2007,53160,176,2,25,44,105,2559,630,1838,91,0,2,42,2
115898,Alabama,Autaugaville,2007,885,2,0,0,0,2,27,12,13,2,0,2,43,2
115899,Alabama,Bay Minette,2007,7674,54,1,3,9,41,376,73,281,22,0,2,44,2
115900,Alabama,Bayou La Batre,2007,2761,25,0,1,4,20,325,70,229,26,0,2,45,2
115901,Alabama,Bear Creek,2007,1016,6,0,0,0,6,24,2,19,3,0,2,46,2
115902,Alabama,Berry,2007,1212,0,0,0,0,0,4,0,3,1,0,2,47,2
115903,Alabama,Bessemer,2007,28217,502,10,34,195,263,3534,903,2373,258,0,2,48,2
115904,Alabama,Birmingham,2007,227686,3320,86,229,1609,1396,19638,4864,12528,2246,221,2,49,2
115905,Alabama,Blountsville,2007,1969,3,0,1,0,2,49,18,29,2,0,2,50,2
115906,Alabama,Boaz,2007,8175,22,0,3,5,14,554,83,450,21,0,2,51,2
115907,Alabama,Brantley,2007,906,1,0,0,0,1,47,10,37,0,0,2,52,2
115908,Alabama,Brent,2007,4328,3,0,0,2,1,71,17,52,2,0,2,53,2
115909,Alabama,Brewton,2007,5304,103,0,2,12,89,254,43,205,6,0,2,54,2
115910,Alabama,Bridgeport,2007,2698,2,0,0,1,1,121,27,77,17,0,2,55,2
115911,Alabama,Brighton,2007,3358,0,0,0,0,0,1,0,1,0,0,2,56,2
115912,Alabama,Brilliant,2007,732,3,0,0,0,3,40,14,25,1,0,2,57,2
115913,Alabama,Brundidge,2007,2305,21,0,1,4,16,97,13,80,4,0,2,58,2
115914,Alabama,Butler,2007,1747,1,0,0,0,1,17,10,7,0,0,2,59,2
115915,Alabama,Carbon Hill,2007,2048,7,0,1,1,5,153,28,107,18,0,2,60,2
115916,Alabama,Carrollton,2007,953,1,0,0,1,0,20,5,15,0,0,2,61,2
115917,Alabama,Cedar Bluff,2007,1580,6,0,0,0,6,104,39,59,6,0,2,62,2
115918,Alabama,Centre,2007,3411,3,0,1,1,1,166,19,139,8,0,2,63,2
115919,Alabama,Centreville,2007,2511,11,0,0,0,11,40,8,28,4,0,2,64,2
115920,Alabama,Chatom,2007,1172,5,0,0,0,5,18,1,17,0,0,2,65,2
115921,Alabama,Cherokee,2007,1177,1,0,0,0,1,12,6,6,0,0,2,66,2
115922,Alabama,Chickasaw,2007,6000,29,0,2,10,17,348,83,242,23,0,2,67,2
115923,Alabama,Childersburg,2007,4978,41,0,0,11,30,465,71,383,11,0,2,68,2
115924,Alabama,Citronelle,2007,3716,31,2,4,2,23,212,49,142,21,0,2,69,2
115925,Alabama,Clanton,2007,8602,57,1,3,11,42,359,68,282,9,0,2,70,2
115926,Alabama,Clayton,2007,1383,12,0,0,0,12,39,8,31,0,0,2,71,2
115927,Alabama,Clio,2007,2209,0,0,0,0,0,3,0,1,2,0,2,72,2
115928,Alabama,Coffeeville,2007,354,2,0,0,0,2,1,0,1,0,0,2,73,2
115929,Alabama,Collinsville,2007,1693,1,0,0,0,1,41,4,33,4,0,2,74,2
115930,Alabama,Columbiana,2007,3809,19,0,1,1,17,129,22,106,1,0,2,75,2
115931,Alabama,Coosada,2007,1590,2,0,0,0,2,23,2,21,0,0,2,76,2
115932,Alabama,Cottonwood,2007,1172,2,0,0,0,2,17,4,10,3,0,2,77,2
115933,Alabama,Courtland,2007,760,0,0,0,0,0,10,3,3,4,0,2,78,2
115934,Alabama,Creola,2007,2084,6,0,0,1,5,75,9,62,4,0,2,79,2
115935,Alabama,Crossville,2007,1463,0,0,0,0,0,2,1,0,1,0,2,80,2
115936,Alabama,Cullman,2007,14914,23,0,3,6,14,899,143,704,52,0,2,81,2
115937,Alabama,Dadeville,2007,3239,60,0,2,9,49,247,56,179,12,0,2,82,2
115938,Alabama,Daleville,2007,4503,12,0,3,4,5,74,32,39,3,0,2,83,2
115939,Alabama,Daphne,2007,19352,25,0,3,8,14,583,139,419,25,0,2,84,2
115940,Alabama,Dauphin Island,2007,1568,0,0,0,0,0,9,5,3,1,0,2,85,2
115941,Alabama,Decatur,2007,56019,251,0,28,105,118,3624,830,2584,210,0,2,86,2
115942,Alabama,Demopolis,2007,7523,93,0,11,17,65,492,84,395,13,0,2,87,2
115943,Alabama,Dora,2007,2441,6,0,2,1,3,103,17,74,12,0,2,88,2
115944,Alabama,Dothan,2007,64931,418,8,46,190,174,3345,790,2369,186,0,2,89,2
115945,Alabama,Double Springs,2007,989,4,1,0,0,3,13,2,10,1,0,2,90,2
115946,Alabama,Douglas,2007,581,9,0,0,1,8,88,34,44,10,0,2,91,2
115947,Alabama,Dozier,2007,392,0,0,0,0,0,0,0,0,0,0,2,92,2
115948,Alabama,East Brewton,2007,2512,3,0,0,1,2,55,7,43,5,0,2,93,2
115949,Alabama,Eclectic,2007,1148,1,0,0,0,1,17,2,10,5,0,2,94,2
115950,Alabama,Elba,2007,4136,19,0,1,5,13,131,46,82,3,0,2,95,2
115951,Alabama,Elberta,2007,591,7,0,0,2,5,78,16,54,8,0,2,96,2
115952,Alabama,Enterprise,2007,24035,98,1,11,41,45,433,213,184,36,0,2,97,2
115953,Alabama,Eutaw,2007,3001,27,0,1,9,17,156,46,109,1,0,2,98,2
115954,Alabama,Evergreen,2007,3446,14,0,0,3,11,125,19,104,2,0,2,99,2
115955,Alabama,Excel,2007,605,1,0,0,0,1,17,2,14,1,0,2,100,2
115956,Alabama,Fairfield,2007,11443,209,4,12,84,109,1212,238,877,97,0,2,101,2
115957,Alabama,Fairhope,2007,16735,12,0,2,6,4,344,76,257,11,0,2,102,2
115958,Alabama,Falkville,2007,1185,2,0,1,0,1,15,5,9,1,0,2,103,2
115959,Alabama,Fayette,2007,4694,11,0,2,4,5,211,36,159,16,0,2,104,2
115960,Alabama,Flomaton,2007,1541,4,1,0,0,3,32,4,23,5,0,2,105,2
115961,Alabama,Florala,2007,1904,19,0,1,2,16,77,11,63,3,0,2,106,2
115962,Alabama,Florence,2007,36784,117,0,8,47,62,1775,403,1315,57,3,2,107,2
115963,Alabama,Foley,2007,13463,113,3,6,35,69,1051,173,803,75,0,2,108,2
115964,Alabama,Fort Payne,2007,13889,44,1,3,3,37,691,96,557,38,0,2,109,2
115965,Alabama,Fyffe,2007,1045,0,0,0,0,0,3,1,2,0,0,2,110,2
115966,Alabama,Gadsden,2007,37066,174,2,15,102,55,2515,541,1793,181,10,2,111,2
115967,Alabama,Gardendale,2007,13235,20,1,0,9,10,458,60,380,18,0,2,112,2
115968,Alabama,Geneva,2007,4415,17,0,1,4,12,134,31,93,10,0,2,113,2
115969,Alabama,Georgiana,2007,1593,13,0,1,2,10,59,13,43,3,0,2,114,2
115970,Alabama,Geraldine,2007,837,2,0,0,0,2,31,3,24,4,0,2,115,2
115971,Alabama,Glencoe,2007,5311,9,0,1,2,6,106,30,71,5,0,2,116,2
115972,Alabama,Goodwater,2007,1542,3,0,0,0,3,22,5,15,2,0,2,117,2
115973,Alabama,Gordo,2007,1589,4,0,1,1,2,45,11,26,8,0,2,118,2
115974,Alabama,Grant,2007,692,0,0,0,0,0,9,3,5,1,0,2,119,2
115975,Alabama,Graysville,2007,2399,0,0,0,0,0,14,7,4,3,0,2,120,2
115976,Alabama,Greensboro,2007,2579,38,1,1,7,29,160,46,104,10,1,2,121,2
115977,Alabama,Greenville,2007,7067,41,1,1,7,32,491,94,380,17,0,2,122,2
115978,Alabama,Guin,2007,2223,3,0,0,1,2,27,9,17,1,0,2,123,2
115979,Alabama,Gulf Shores,2007,9486,86,1,8,57,20,450,101,341,8,0,2,124,2
115980,Alabama,Gurley,2007,850,2,0,1,0,1,29,5,22,2,0,2,125,2
115981,Alabama,Hackleburg,2007,1472,1,0,0,0,1,18,5,10,3,0,2,126,2
115982,Alabama,Haleyville,2007,4178,46,0,2,2,42,268,57,201,10,0,2,127,2
115983,Alabama,Hamilton,2007,6478,15,0,5,2,8,194,47,138,9,1,2,128,2
115984,Alabama,Hammondville,2007,545,0,0,0,0,0,5,2,3,0,0,2,129,2
115985,Alabama,Hanceville,2007,3261,10,0,1,0,9,165,41,114,10,0,2,130,2
115986,Alabama,Hartford,2007,2401,9,0,0,2,7,147,31,110,6,0,2,131,2
115987,Alabama,Hartselle,2007,13650,12,0,4,1,7,460,72,376,12,0,2,132,2
115988,Alabama,Hayneville,2007,1112,10,0,0,1,9,56,34,19,3,0,2,133,2
115989,Alabama,Headland,2007,3864,25,0,1,8,16,132,35,94,3,0,2,134,2
115990,Alabama,Helena,2007,14429,15,0,1,0,14,110,24,84,2,0,2,135,2
115991,Alabama,Henagar,2007,2560,7,0,1,4,2,45,9,29,7,0,2,136,2
115992,Alabama,Hobson City,2007,867,0,0,0,0,0,10,6,2,2,0,2,137,2
115993,Alabama,Hokes Bluff,2007,4363,11,0,0,2,9,72,19,51,2,0,2,138,2
115994,Alabama,Hollywood,2007,931,0,0,0,0,0,13,1,11,1,0,2,139,2
115995,Alabama,Hoover,2007,69527,121,0,18,71,32,2443,372,1910,161,1,2,140,2
115996,Alabama,Hueytown,2007,15816,40,1,3,14,22,430,98,297,35,0,2,141,2
115997,Alabama,Huntsville,2007,169391,1379,21,96,586,676,10731,2283,7282,1166,49,2,142,2
115998,Alabama,Ider,2007,715,0,0,0,0,0,4,1,2,1,0,2,143,2
115999,Alabama,Irondale,2007,9471,51,3,1,24,23,564,146,360,58,0,2,144,2
116000,Alabama,Jasper,2007,14117,76,1,7,33,35,1244,182,980,82,0,2,145,2
116001,Alabama,Killen,2007,1123,6,0,0,0,6,78,11,67,0,0,2,146,2
116002,Alabama,Kimberly,2007,2592,0,0,0,0,0,25,2,18,5,0,2,147,2
116003,Alabama,Lafayette,2007,3054,43,0,1,1,41,160,37,117,6,0,2,148,2
116004,Alabama,Lake View,2007,1982,2,0,1,1,0,80,25,50,5,0,2,149,2
116005,Alabama,Leeds,2007,11169,67,1,2,35,29,569,119,419,31,0,2,150,2
116006,Alabama,Leesburg,2007,839,3,0,0,0,3,50,7,40,3,0,2,151,2
116007,Alabama,Leighton,2007,834,8,0,0,1,7,32,7,23,2,0,2,152,2
116008,Alabama,Level Plains,2007,1516,13,0,0,0,13,68,17,45,6,0,2,153,2
116009,Alabama,Lexington,2007,832,0,0,0,0,0,10,4,6,0,0,2,154,2
116010,Alabama,Linden,2007,2326,4,0,0,2,2,34,7,24,3,0,2,155,2
116011,Alabama,Lineville,2007,2370,46,0,1,1,44,44,7,33,4,0,2,156,2
116012,Alabama,Lipscomb,2007,2265,0,0,0,0,0,1,0,1,0,0,2,157,2
116013,Alabama,Littleville,2007,947,1,0,0,0,1,38,4,32,2,0,2,158,2
116014,Alabama,Livingston,2007,2961,10,1,2,3,4,126,35,85,6,0,2,159,2
116015,Alabama,Louisville,2007,569,1,0,0,0,1,9,3,6,0,0,2,160,2
116016,Alabama,Loxley,2007,1587,10,1,2,2,5,78,21,52,5,0,2,161,2
116017,Alabama,Maplesville,2007,686,5,0,0,1,4,33,7,24,2,0,2,162,2
116018,Alabama,Marion,2007,3373,35,0,1,1,33,202,40,151,11,0,2,163,2
116019,Alabama,McIntosh,2007,237,5,0,0,0,5,31,7,24,0,0,2,164,2
116020,Alabama,McKenzie,2007,612,0,0,0,0,0,9,2,7,0,0,2,165,2
116021,Alabama,Midfield,2007,5196,41,0,1,20,20,469,144,296,29,0,2,166,2
116022,Alabama,Midland City,2007,1839,15,0,1,5,9,67,20,44,3,0,2,167,2
116023,Alabama,Millry,2007,601,1,0,0,0,1,4,0,4,0,0,2,168,2
116024,Alabama,Mobile,2007,253842,1144,38,23,750,333,14136,3650,9361,1125,134,2,169,2
116025,Alabama,Monroeville,2007,6538,78,1,0,15,62,466,103,329,34,10,2,170,2
116026,Alabama,Montgomery,2007,202062,1157,46,54,652,405,12843,3317,8579,947,53,2,171,2
116027,Alabama,Moody,2007,12402,5,0,0,5,0,332,56,237,39,0,2,172,2
116028,Alabama,Morris,2007,1910,0,0,0,0,0,33,10,21,2,0,2,173,2
116029,Alabama,Moundville,2007,2399,10,0,0,1,9,75,7,60,8,0,2,174,2
116030,Alabama,Mountain Brook,2007,20952,6,0,0,5,1,395,65,325,5,0,2,175,2
116031,Alabama,Mount Vernon,2007,821,6,0,0,0,6,15,5,8,2,0,2,176,2
116032,Alabama,Napier Field,2007,397,0,0,0,0,0,4,1,3,0,0,2,177,2
116033,Alabama,New Brockton,2007,1216,0,0,0,0,0,41,8,29,4,0,2,178,2
116034,Alabama,New Hope,2007,2709,9,0,0,1,8,61,20,39,2,0,2,179,2
116035,Alabama,Newton,2007,1663,5,0,0,2,3,34,7,22,5,0,2,180,2
116036,Alabama,North Courtland,2007,794,0,0,0,0,0,1,0,1,0,0,2,181,2
116037,Alabama,Northport,2007,22201,128,2,5,54,67,1135,248,798,89,0,2,182,2
116038,Alabama,Notasulga,2007,833,0,0,0,0,0,25,9,14,2,0,2,183,2
116039,Alabama,Oakman,2007,945,4,0,1,1,2,21,5,13,3,0,2,184,2
116040,Alabama,Ohatchee,2007,1230,0,0,0,0,0,68,32,29,7,0,2,185,2
116041,Alabama,Oneonta,2007,6860,21,1,2,1,17,268,21,235,12,0,2,186,2
116042,Alabama,Opelika,2007,24600,308,5,36,62,205,1551,284,1224,43,0,2,187,2
116043,Alabama,Opp,2007,6701,22,1,1,2,18,226,26,198,2,0,2,188,2
116044,Alabama,Orange Beach,2007,5810,8,0,1,4,3,384,66,307,11,0,2,189,2
116045,Alabama,Oxford,2007,20396,112,1,11,48,52,1232,230,936,66,0,2,190,2
116046,Alabama,Ozark,2007,14656,118,3,9,19,87,716,147,503,66,0,2,191,2
116047,Alabama,Parrish,2007,1260,7,0,1,1,5,48,6,40,2,0,2,192,2
116048,Alabama,Pelham,2007,21060,35,0,3,22,10,550,41,475,34,0,2,193,2
116049,Alabama,Pell City,2007,12256,78,2,10,13,53,551,106,421,24,0,2,194,2
116050,Alabama,Pennington,2007,327,0,0,0,0,0,4,3,1,0,0,2,195,2
116051,Alabama,Phenix City,2007,30309,113,3,6,52,52,1286,385,703,198,0,2,196,2
116052,Alabama,Phil Campbell,2007,1046,2,0,0,0,2,24,2,21,1,0,2,197,2
116053,Alabama,Pickensville,2007,646,0,0,0,0,0,10,3,5,2,0,2,198,2
116054,Alabama,Piedmont,2007,4998,3,0,1,1,1,263,42,221,0,0,2,199,2
116055,Alabama,Pine Hill,2007,914,4,1,0,0,3,7,2,4,1,0,2,200,2
116056,Alabama,Pisgah,2007,702,0,0,0,0,0,2,0,2,0,0,2,201,2
116057,Alabama,Powell,2007,976,0,0,0,0,0,13,2,11,0,0,2,202,2
116058,Alabama,Prattville,2007,31949,90,1,9,33,47,1301,255,984,62,0,2,203,2
116059,Alabama,Priceville,2007,2503,5,0,0,0,5,63,7,50,6,0,2,204,2
116060,Alabama,Prichard,2007,28087,255,14,9,98,134,1353,391,738,224,0,2,205,2
116061,Alabama,Ragland,2007,2082,6,1,2,0,3,39,9,27,3,0,2,206,2
116062,Alabama,Rainbow City,2007,9079,1,0,0,1,0,239,40,194,5,0,2,207,2
116063,Alabama,Rainsville,2007,4923,12,0,0,0,12,142,20,117,5,0,2,208,2
116064,Alabama,Ranburne,2007,482,1,0,0,0,1,17,1,12,4,0,2,209,2
116065,Alabama,Red Bay,2007,3283,5,0,0,0,5,70,12,55,3,0,2,210,2
116066,Alabama,Red Level,2007,555,0,0,0,0,0,3,3,0,0,0,2,211,2
116067,Alabama,Reform,2007,1834,17,0,0,6,11,71,28,43,0,0,2,212,2
116068,Alabama,Robertsdale,2007,4976,29,4,3,4,18,152,28,120,4,0,2,213,2
116069,Alabama,Rockford,2007,396,0,0,0,0,0,0,0,0,0,0,2,214,2
116070,Alabama,Rogersville,2007,1190,4,0,0,1,3,60,19,36,5,0,2,215,2
116071,Alabama,Russellville,2007,8842,18,0,7,1,10,75,20,47,8,0,2,216,2
116072,Alabama,Samson,2007,2027,6,0,1,3,2,17,4,11,2,0,2,217,2
116073,Alabama,Sardis City,2007,2101,3,0,0,0,3,65,19,43,3,0,2,218,2
116074,Alabama,Satsuma,2007,6032,9,0,0,1,8,112,19,74,19,0,2,219,2
116075,Alabama,Scottsboro,2007,14971,28,0,4,6,18,629,15,590,24,0,2,220,2
116076,Alabama,Selma,2007,19101,314,4,27,90,193,2371,694,1492,185,0,2,221,2
116077,Alabama,Sheffield,2007,9176,36,1,8,9,18,533,136,386,11,0,2,222,2
116078,Alabama,Shorter,2007,338,10,0,0,5,5,16,5,11,0,0,2,223,2
116079,Alabama,Silas,2007,487,4,0,0,1,3,4,1,2,1,0,2,224,2
116080,Alabama,Silverhill,2007,704,1,0,0,1,0,33,5,28,0,0,2,225,2
116081,Alabama,Skyline,2007,842,1,0,0,0,1,4,1,3,0,0,2,226,2
116082,Alabama,Slocomb,2007,2040,9,0,0,1,8,24,5,18,1,0,2,227,2
116083,Alabama,Somerville,2007,471,1,0,1,0,0,32,6,24,2,0,2,228,2
116084,Alabama,Southside,2007,8279,10,1,0,1,8,122,26,93,3,0,2,229,2
116085,Alabama,Spanish Fort,2007,5619,11,0,1,3,7,162,25,137,0,0,2,230,2
116086,Alabama,Stevenson,2007,2140,36,0,1,2,33,115,25,79,11,0,2,231,2
116087,Alabama,St. Florian,2007,472,2,0,0,1,1,18,9,7,2,0,2,232,2
116088,Alabama,Sulligent,2007,1963,1,0,0,0,1,58,3,52,3,0,2,233,2
116089,Alabama,Sumiton,2007,2578,4,0,0,4,0,334,40,269,25,0,2,234,2
116090,Alabama,Summerdale,2007,701,12,0,4,1,7,94,24,68,2,0,2,235,2
116091,Alabama,Sylacauga,2007,12946,54,2,3,22,27,844,170,655,19,0,2,236,2
116092,Alabama,Sylvania,2007,1267,4,0,0,0,4,24,6,17,1,0,2,237,2
116093,Alabama,Thomaston,2007,375,0,0,0,0,0,1,0,1,0,0,2,238,2
116094,Alabama,Thomasville,2007,4558,31,3,3,3,22,261,76,178,7,0,2,239,2
116095,Alabama,Thorsby,2007,2030,0,0,0,0,0,9,2,6,1,0,2,240,2
116096,Alabama,Town Creek,2007,1202,0,0,0,0,0,35,4,30,1,0,2,241,2
116097,Alabama,Triana,2007,482,1,0,0,0,1,5,2,3,0,0,2,242,2
116098,Alabama,Trinity,2007,1907,2,0,0,0,2,15,1,7,7,0,2,243,2
116099,Alabama,Trussville,2007,18401,53,0,1,37,15,955,63,862,30,0,2,244,2
116100,Alabama,Tuscaloosa,2007,83811,557,10,32,264,251,5047,1199,3569,279,0,2,245,2
116101,Alabama,Tuscumbia,2007,8235,6,0,1,2,3,233,30,191,12,0,2,246,2
116102,Alabama,Tuskegee,2007,11423,130,3,6,28,93,965,368,581,16,0,2,247,2
116103,Alabama,Uniontown,2007,1480,34,0,0,0,34,37,9,27,1,0,2,248,2
116104,Alabama,Valley Head,2007,653,1,0,0,0,1,1,0,1,0,0,2,249,2
116105,Alabama,Vernon,2007,1898,1,0,0,0,1,20,3,16,1,0,2,250,2
116106,Alabama,Vestavia Hills,2007,31097,22,0,5,6,11,295,92,182,21,0,2,251,2
116107,Alabama,Warrior,2007,2982,0,0,0,0,0,1,1,0,0,0,2,252,2
116108,Alabama,Weaver,2007,2620,6,0,0,0,6,73,28,43,2,0,2,253,2
116109,Alabama,Wetumpka,2007,7558,20,0,5,6,9,416,73,328,15,0,2,254,2
116110,Alabama,Winfield,2007,4711,1,0,0,0,1,139,37,94,8,0,2,255,2
116111,Alabama,Woodstock,2007,1018,11,0,0,2,9,45,19,23,3,0,2,256,2
116112,Alabama,York,2007,2563,16,0,0,3,13,65,14,48,3,0,2,257,2
116113,Arkansas,Altheimer,2007,1143,4,0,0,0,4,31,16,12,3,0,2,258,3
116114,Arkansas,Arkadelphia,2007,10418,43,0,5,5,33,324,133,178,13,2,2,259,3
116115,Arkansas,Arkansas City,2007,538,1,0,0,0,1,19,8,10,1,0,2,260,3
116116,Arkansas,Ashdown,2007,4497,20,0,0,5,15,158,21,128,9,4,2,261,3
116117,Arkansas,Atkins,2007,2929,1,0,0,0,1,80,30,49,1,0,2,262,3
116118,Arkansas,Augusta,2007,2355,17,0,4,1,12,98,17,81,0,0,2,263,3
116119,Arkansas,Bald Knob,2007,3364,8,0,0,3,5,201,114,81,6,1,2,264,3
116120,Arkansas,Barling,2007,4397,12,0,1,0,11,80,26,51,3,0,2,265,3
116121,Arkansas,Bay,2007,1992,0,0,0,0,0,26,10,15,1,0,2,266,3
116122,Arkansas,Bearden,2007,1019,6,0,1,1,4,42,23,17,2,0,2,267,3
116123,Arkansas,Beebe,2007,6062,27,0,2,5,20,416,109,293,14,3,2,268,3
116124,Arkansas,Benton,2007,27758,134,0,14,29,91,1499,348,1080,71,2,2,269,3
116125,Arkansas,Bentonville,2007,34232,79,0,20,4,55,879,128,714,37,4,2,270,3
116126,Arkansas,Berryville,2007,5195,19,0,5,1,13,235,72,156,7,0,2,271,3
116127,Arkansas,Blytheville,2007,16161,156,5,8,42,101,1261,372,780,109,19,2,272,3
116128,Arkansas,Bono,2007,1557,2,0,0,0,2,42,21,21,0,0,2,273,3
116129,Arkansas,Booneville,2007,4137,16,0,1,1,14,200,57,137,6,1,2,274,3
116130,Arkansas,Brinkley,2007,3368,10,1,0,4,5,158,29,123,6,0,2,275,3
116131,Arkansas,Bryant,2007,14181,40,0,6,4,30,689,100,551,38,0,2,276,3
116132,Arkansas,Bull Shoals,2007,2124,0,0,0,0,0,25,9,15,1,0,2,277,3
116133,Arkansas,Cabot,2007,23366,100,2,8,3,87,782,255,491,36,2,2,278,3
116134,Arkansas,Caddo Valley,2007,622,0,0,0,0,0,12,8,4,0,0,2,279,3
116135,Arkansas,Camden,2007,11812,82,0,7,18,57,849,227,600,22,5,2,280,3
116136,Arkansas,Cammack Village,2007,766,0,0,0,0,0,24,20,3,1,0,2,281,3
116137,Arkansas,Caraway,2007,1359,1,0,0,0,1,3,1,1,1,0,2,282,3
116138,Arkansas,Carlisle,2007,2451,5,0,1,1,3,70,29,39,2,0,2,283,3
116139,Arkansas,Cave City,2007,2074,5,0,1,0,4,39,10,26,3,0,2,284,3
116140,Arkansas,Cave Springs,2007,1583,3,0,1,0,2,20,4,16,0,0,2,285,3
116141,Arkansas,Centerton,2007,7803,4,0,0,0,4,94,27,67,0,0,2,286,3
116142,Arkansas,Charleston,2007,3035,3,0,0,0,3,32,13,19,0,0,2,287,3
116143,Arkansas,Cherokee Village,2007,4812,2,0,2,0,0,98,34,59,5,1,2,288,3
116144,Arkansas,Clarendon,2007,1766,0,0,0,0,0,0,0,0,0,0,2,289,3
116145,Arkansas,Clarksville,2007,8553,40,0,2,6,32,481,45,423,13,0,2,290,3
116146,Arkansas,Clinton,2007,2506,1,0,0,0,1,72,7,62,3,0,2,291,3
116147,Arkansas,Conway,2007,57245,183,1,39,64,79,2319,465,1681,173,6,2,292,3
116148,Arkansas,Corning,2007,3403,10,0,5,1,4,30,13,14,3,1,2,293,3
116149,Arkansas,Cotter,2007,1074,0,0,0,0,0,32,9,22,1,0,2,294,3
116150,Arkansas,Crossett,2007,5623,21,0,3,4,14,266,72,187,7,3,2,295,3
116151,Arkansas,Danville,2007,2488,5,0,3,0,2,7,3,4,0,0,2,296,3
116152,Arkansas,Dardanelle,2007,4431,21,0,3,1,17,131,114,15,2,5,2,297,3
116153,Arkansas,Decatur,2007,1670,2,0,0,0,2,13,6,5,2,0,2,86,3
116154,Arkansas,De Queen,2007,5890,36,0,8,3,25,241,50,185,6,0,2,298,3
116155,Arkansas,Des Arc,2007,1765,7,0,0,0,7,31,18,10,3,0,2,299,3
116156,Arkansas,De Witt,2007,3354,24,0,4,6,14,197,76,117,4,1,2,300,3
116157,Arkansas,Dierks,2007,1244,2,0,1,0,1,6,2,2,2,1,2,301,3
116158,Arkansas,Dover,2007,1388,2,0,0,1,1,58,35,22,1,0,2,302,3
